名  称,类别,最大占比,相似或相克,水分（克）,能量(千卡）,蛋白质（克）,脂肪（克）,碳水化物（克）,膳食纤维（克）,胆固醇（毫克）,维生素A（μg）,维生素B1（毫克）,维生素B2（毫克）,烟酸（毫克）,维生素C（毫克）,维生素E（毫克）,钙（毫克）,磷（毫克）,钾（毫克）,钠（毫克）,镁（毫克）,铁（毫克）,锌（毫克）,硒（μg）,铜（毫克）,锰（毫克）
海虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,79.3,79,16.8,0.6,1.5,0,117,0,0.01,0.05,1.9,0,2.79,146,196,228,302.2,46,3,1.44,56.41,0.44,0.11
龙虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,77.6,90,18.9,1.1,1,0,121,0,0,0.03,4.3,0,3.58,21,221,257,190,22,1.3,2.79,39.36,0.54,0
基围虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,75.2,101,18.2,1.4,3.9,0,181,0,0.02,0.07,2.9,0,1.69,83,139,250,172,45,2,1.18,39.7,0.5,0.05
对虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,76.5,93,18.6,0.8,2.8,0,193,7.5,0.01,0.07,1.7,0,0.62,62,228,215,165.2,43,1.5,2.38,33.72,0.34,0.12
河虾,海鲜,1,虾米（海米）_虾皮_海虾_龙虾_基围虾_对虾_河虾,78.1,84,16.4,2.4,0,0,240,24,0.04,0.03,0,0,5.33,325,186,329,138.8,60,4,2.24,29.65,0.64,0.27
海参（干）,海鲜,0.2,海参（干）_海参（水浸）,18.9,262,50.2,4.8,4.5,0,62,19.5,0.04,0.13,1.3,0,0,0,94,356,4968,1047,9,2.24,150,0.27,0.43
海参（水浸）,海鲜,1,海参（干）_海参（水浸）,93.5,24,6,0.1,0,0,51,5.5,0,0.03,0.3,0,0,240,10,41,80.9,31,0.6,0.27,5.79,0,0.04
扇贝干（干贝）,海鲜,0.2,扇贝干（干贝）_鲜贝,27.4,264,55.6,2.4,5.1,0,348,5.5,0,0.21,2.5,0,1.53,77,504,969,306.4,106,5.6,5.05,76.35,0.1,0.43
鲜贝,海鲜,1,扇贝干（干贝）_鲜贝,80.3,77,15.7,0.5,2.5,0,116,0,0,0.21,2.5,0,1.46,28,166,226,120,31,0.7,2.08,57.35,0,0.33
扁豆（干）,豆制品,1,,9.9,339,25.3,0.4,61.9,6.5,0,3,0.26,0.45,2.6,0,1.86,137,218,439,2.3,92,19.2,1.9,32,1.27,1.19
扁豆（干，白）,豆制品,1,,19.4,283,19,1.3,55.6,13.4,0,0,0.33,0.11,1.2,0,0.89,68,340,1070,1,163,4,1.93,1.17,0.52,1.31
刀豆,豆制品,1,,89,40,3.1,0.3,7,1.8,0,18,0.05,0.07,1,15,0.4,49,57,209,8.5,29,4.6,0.84,0.88,0.09,0.45
豆腐（北豆腐）,豆制品,1,,78.6,116,9.2,8.1,3,0,0,0,0.05,0.02,0.11,0,8.4,105,112,106,7.3,63,1.5,0.74,2.46,0.06,0.07
豆腐（代表值）,豆制品,1,,83.8,84,6.6,5.3,3.4,0.4,0,0,0.06,0.02,0.21,0.2,5.79,78,82,118,5.6,41,1.2,0.57,1.5,0.08,0.12
豆腐（南豆腐）,豆制品,1,,83.6,87,5.7,5.8,3.9,0,0,0,0.06,0.02,0,0,5.72,113,76,154,3.1,36,1.2,0.43,1.23,0.04,0.03
豆腐（内酯）,豆制品,1,,89.2,50,5,1.9,3.3,0.4,0,0,0.06,0.03,0.3,0,3.26,17,57,95,6.4,24,0.8,0.55,0.81,0.13,0.26
豆腐干（菜干）,豆制品,1,,71.3,137,13.4,7.1,5,0.3,0,0,0.01,0.01,0.3,0,0.62,179,79,70,633.6,81,3,1.39,0.5,0.15,0.81
豆腐干（卤干）,豆制品,1,,32.4,339,14.5,16.7,33.4,1.6,0,0,0.03,0.14,0.2,0,0,731,162,134,40.9,43,3.9,3.61,0,0.57,0.84
豆腐干（香干）,豆制品,1,,69.2,152,15.8,7.8,5.1,0.8,0,3,0.04,0.03,0.3,0,15.85,299,219,99,234.1,88,5.7,1.59,3.15,0.41,1.19
豆腐干（小香干）,豆制品,1,,61,174,17.9,9.1,5.4,0.4,0,0,0.03,0.07,0,0,7.39,1019,177,141,372.3,87,23.3,2.55,23.6,0.38,1.61
豆腐丝,豆制品,1,,58.4,203,21.5,10.5,6.2,1.1,0,3,0.04,0.12,0.5,0,9.76,204,220,74,20.6,127,9.1,2.04,1.39,0.29,1.71
豆腐丝（干）,豆制品,1,,7.4,451,57.7,22.8,3.7,0,0,0,0.3,0.6,0,0,7.8,5,74,7,110,0,1.3,3.59,2.72,0.26,2.4
豆腐丝（油）,豆制品,1,,38.2,304,24.2,17.1,14.5,2.2,0,2,0.02,0.09,1.8,0,17.8,152,423,208,769.4,93,5,2.98,6.1,0.27,1.37
发芽豆,豆制品,1,,66.1,131,12.4,0.7,19.4,1.3,0,0,0.3,0.17,2.3,4,2.8,41,134,179,3.9,1,5,0.72,0.73,0.32,0.37
荷兰豆,豆制品,1,,91.9,30,2.5,0.3,4.9,1.4,0,40,0.09,0.04,0.7,16,0.3,51,19,116,8.8,16,0.9,0.5,0.42,0.06,0.48
花豆（红）,豆制品,1,,14.8,328,19.1,1.3,62.7,5.5,0,36,0.25,0,3,0,6.13,38,48,358,12.5,17,0.3,1.27,19.05,0.94,1.22
花豆（紫）,豆制品,1,,13.2,330,17.2,1.4,65.8,7.4,0,23,0.14,0,2.7,0,9.64,221,169,641,19.6,120,5.9,3.4,74.06,0.92,1.08
豇豆（干）,豆制品,1,,10.9,336,19.3,1.2,65.6,7.1,0,0,0.16,0.08,1.9,0,8.61,40,344,737,6.8,36,7.1,3.04,5.74,2.1,1.07
豇豆（鲜，长）,豆制品,1,,90.8,32,2.7,0.2,5.8,1.8,0,10,0.07,0.07,0.8,18,0.65,42,50,145,4.6,43,1,0.94,1.4,0.11,0.39
豇豆（紫）,豆制品,1,,11.2,329,18.9,0.4,65.8,6.9,0,2,0.22,0.09,2.4,0,11.42,67,345,500,4,41,7.9,1.61,1.52,1.42,0.98
豇豆、叶尖、生的,豆制品,1,,89.78,29,4.1,0.25,4.82,,,,0.35,0.18,1.12,36,,63,9,455,7,43,1.92,0.29,0.9,0.19,0.51
龙豆,豆制品,1,,90,36,3.7,0.5,5,1.9,0,43,0.04,0.06,1,11,0.77,147,54,142,4.1,46,1.3,0.46,4.06,0.35,0.19
垅船豆,豆制品,1,,90.3,36,2,0.4,6.8,1.3,0,7,0.04,0.02,0.3,13,0,37,0,192,0.9,22,1.3,0.22,0,0.06,0
眉豆（饭豇豆）,豆制品,1,,12,334,18.6,1.1,65.6,6.6,0,0,0.15,0.18,2.1,0,12.29,60,310,525,86.5,171,5.5,4.7,2.89,0.86,2.14
木豆（扭豆、豆蓉）,豆制品,1,,10.7,348,19.8,4.5,58.8,3.7,0,0,0.66,,0,0,0,231,528,0,0,0,12.5,0,0,0,0
脑豆,豆制品,1,,10.7,363,23.4,3.8,59.6,1.5,0,0,0.35,0.28,2.9,0,19.21,327,354,686,12,171,7.7,2.45,7.34,1.14,2.05
青豆（青大豆）,豆制品,1,,9.5,398,34.5,16,35.4,12.6,0,66,0.41,0.18,3,0,10.09,200,395,718,1.8,128,8.4,3.18,5.62,1.38,2.25
四季豆（菜豆）,豆制品,1,,91.3,31,2,0.4,5.7,1.5,0,35,0.04,0.07,0.4,6,1.24,42,51,123,8.6,27,1.5,0.23,0.43,0.11,0.18
豌豆（干）,豆制品,1,,10.4,334,20.3,1.1,65.8,10.4,0,21,0.49,0.14,2.4,0,8.47,97,259,823,9.7,118,4.9,2.35,1.69,0.47,1.15
豌豆（花）,豆制品,1,,11.5,336,21.6,1,63.6,6.9,0,20,0.68,0.22,2.4,0,9.63,106,218,736,3.2,112,4.4,2.47,9.72,0.54,1.17
豌豆（鲜）,豆制品,1,,70.2,111,7.4,0.3,21.2,3,0,18,0.43,0.09,2.3,14,1.21,21,127,332,1.2,43,1.7,1.29,1.74,0.22,0.65
豌豆尖,豆制品,1,,42.1,225,3.1,0,53.9,1.3,0,226,0.07,0.23,0,11,0.22,17,65,160,3.2,24,5.1,0.93,1.94,0.06,0.98
小豆（红，红小豆）,豆制品,1,,12.6,324,20.2,0.6,63.4,7.7,0,7,0.16,0.11,2,0,14.36,74,305,860,2.2,138,7.4,2.2,3.8,0.64,1.33
鹰嘴豆（桃豆）,豆制品,1,,11.3,340,21.2,4.2,60.1,11.6,0,7,0.41,0.25,0,3.5,11.61,150,450,830,6,210,3.4,1.5,0,0.44,2.2
油豆角（多花菜豆）,豆制品,1,,92.2,25,2.4,0.3,3.9,1.6,0,13,0.07,0.08,1.4,11,2.39,69,56,240,3.3,35,1.9,0.38,1.1,0.61,0.12
芸豆（白）,豆制品,1,,14.4,315,23.4,1.4,57.2,9.8,0,0,0.18,0.26,2.4,0,6.16,0,0,0,0,0,0,0,0,0,0
芸豆（红）,豆制品,1,,11.1,331,21.4,1.3,62.5,8.3,0,15,0.18,0.09,2,0,7.74,176,218,1215,0.6,164,5.4,2.07,4.81,0.83,1.43
芸豆（虎皮）,豆制品,1,,10.2,341,22.5,0.9,62.5,3.5,0,0,0.37,0.28,2.1,0,6.02,156,66,809,3.3,31,1.7,1.2,9.75,0.53,1.02
芸豆（杂，带皮）,豆制品,1,,9.8,327,22.4,0.6,63.3,10.5,0,0,0,0,0,0,0,349,386,1058,10.5,197,8.7,2.22,14.02,1.11,1.46
辣椒（红，尖，干）,调料,1,,14.6,295.4,15,12,52.7,41.7,0,0,0.53,0.16,1.2,0,8.76,12,298,1085,4,131,6,8.21,0,0.61,11.7
辣椒（红，小）,调料,1,,88.8,38.4,1.3,0.4,8.9,3.2,0,116,0.03,0.06,0.8,144,0.44,37,95,222,2.6,16,1.4,0.3,1.9,0.11,0.18
辣椒（尖，青）,调料,1,,93.4,22,0.8,0.3,5.2,2.1,0,98,0.02,0.02,0.62,59,0.38,11,20,154,7,15,0.3,0.21,0.02,0.05,0.05
姜,调料,1,,87,46.4,1.3,0.6,10.3,2.7,0,14,0.02,0.03,0.8,4,0,27,25,295,14.9,44,1.4,0.34,0.56,0.14,3.2
姜（干）,调料,1,,14.9,308.4,9.1,5.7,64,17.7,0,0,0,0.1,0,0,0,62,22,41,9.9,0,85,2.3,3.1,0.96,10.65
姜（子姜，嫩姜）,调料,1,,94.5,20.8,0.7,0.6,3.7,0.9,0,0,0,0.01,0.3,2,0,9,11,160,1.9,24,0.8,0.17,0.1,0.03,3.38
酱油,调料,1,,67.3,63.4,5.6,0.1,10.1,0.2,0,0,0.05,0.13,1.7,0,0,66,204,337,5757,156,8.6,1.17,1.39,0.06,1.11
混合油（菜+棕）,调料,1,,0,895,0,99.9,1,0,0,0,0,0.09,0.1,0,12.05,75,,,10.5,,4.1,,,,
菜籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,60.89,9,9,2,7,3,3.7,0.54,0,0.18,0.11
大麻油,调料,1,,0.3,897,0,99.9,0,0,0,0,0,0,0,0,8.55,15,6,3,1.5,4,3.1,0.43,0,0.1,0.02
豆油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,93.08,13,7,3,4.9,3,2,1.09,0,0.16,0.43
胡麻油,调料,1,,0,900,0,100,0,0,0,0,0,0,0,0,389.9,3,5,0,0.6,1,0.2,0.3,0,0.02,0.03
花生油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,42.06,12,15,1,3.5,2,2.9,0.48,0,0.15,0.33
葵花籽油,调料,1,,0.1,899,0,99.9,0,0,0,0,0,0,0,0,54.6,2,4,1,2.8,4,1,0.11,0,0,0.02
盐,调料,1,,0.1,0,0,0,0,0,0,0,0,0,0,0,0,22,,,25127.2,,1,,,,
味精,调料,1,,0.2,268,40.1,0.2,26.5,0,0,0,0.08,0,0.3,0,0,100,4,4,8160,7,1.2,0.31,0.98,0.12,0.67
胡椒粉,调料,1,,10.5,357,9.6,2.2,74.6,2.3,0,10,0,0,1.8,0,0,2,172,154,4.9,128,91,1.23,7.64,0.32,0.79
芝麻油（香油）,调料,1,,0.1,898,0,99.7,0.2,0,0,0,0,0,0,0,68.53,9,4,0,1.1,3,2.2,0.17,0,0.05,0.76
大葱,调料,1,,91.8,28,1.6,0.3,5.8,1.3,0,5,0.06,0.03,0.5,3,0,63,25,110,8.9,16,0.6,0.29,0.21,0.03,0.34
小葱,调料,1,,92.7,26.8,1.6,0.4,4.9,1.4,0,70,0.05,0.06,0.4,21,0.49,72,26,143,10.4,18,1.3,0.35,1.06,0.06,0.16
葱头（洋葱）,调料,1,,89.2,40,1.1,0.2,9,0.9,0,2,0.03,0.03,0.3,8,0.14,24,39,147,4.4,15,0.6,0.23,0.92,0.05,0.14
大蒜、生的,调料,1,,58.58,149,6.36,0.5,33.06,2.1,,,0.2,0.11,0.7,31.2,,181,153,401,17,25,1.7,1.16,14.2,0.3,1.67
大蒜（白皮，鲜）,调料,1,,66.6,128,4.5,0.2,27.6,1.1,0,3,0.04,0.06,0.6,7,1.07,39,117,302,19.6,21,1.2,0.88,3.09,0.22,0.29
白糖（绵白糖）,调料,1,,0.9,396,0.1,0,98.9,0,0,0,0,0,0.2,0,0,6,3,2,2,2,0.2,0.07,0.38,0.02,0.08
白砂糖,调料,1,,0,400,0,0,99.9,0,0,0,0,0,0,0,0,20,8,5,0.4,3,0.6,0.06,0,0.04,0.09
